dt,AverageTemperature,AverageTemperatureUncertainty,Country
1743-11-01,2.4819999999999998,2116,Austria
1743-12-01,,,Austria
1744-01-01,,,Austria
1744-02-01,,,Austria
1744-03-01,,,Austria
1744-04-01,7649,2547,Austria
1744-05-01,10024,1931,Austria
1744-06-01,13037,1993,Austria
1744-07-01,15.014000000000001,2013,Austria
1744-08-01,,,Austria
1744-09-01,11364,2056,Austria
1744-10-01,6.4300000000000015,2073,Austria
1744-11-01,1.69,1944,Austria
1744-12-01,-2.93,2085,Austria
1745-01-01,-5744,2075,Austria
1745-02-01,-3772,1923,Austria
1745-03-01,0.030000000000000027,1843,Austria
1745-04-01,5.577000000000001,1.85,Austria
1745-05-01,,,Austria
1745-06-01,,,Austria
1745-07-01,,,Austria
1745-08-01,,,Austria
1745-09-01,,,Austria
1745-10-01,,,Austria
1745-11-01,,,Austria
1745-12-01,,,Austria
1746-01-01,,,Austria
1746-02-01,,,Austria
1746-03-01,,,Austria
1746-04-01,,,Austria
1746-05-01,,,Austria
1746-06-01,,,Austria
1746-07-01,,,Austria
1746-08-01,,,Austria
1746-09-01,,,Austria
1746-10-01,,,Austria
1746-11-01,,,Austria
1746-12-01,,,Austria
1747-01-01,,,Austria
1747-02-01,,,Austria
1747-03-01,,,Austria
1747-04-01,,,Austria
1747-05-01,,,Austria
1747-06-01,,,Austria
1747-07-01,,,Austria
1747-08-01,,,Austria
1747-09-01,,,Austria
1747-10-01,,,Austria
1747-11-01,,,Austria
1747-12-01,,,Austria
1748-01-01,,,Austria
1748-02-01,,,Austria
1748-03-01,,,Austria
1748-04-01,,,Austria
1748-05-01,,,Austria
1748-06-01,,,Austria
1748-07-01,,,Austria
1748-08-01,,,Austria
1748-09-01,,,Austria
1748-10-01,,,Austria
1748-11-01,,,Austria
1748-12-01,,,Austria
1749-01-01,,,Austria
1749-02-01,,,Austria
1749-03-01,,,Austria
1749-04-01,,,Austria
1749-05-01,,,Austria
1749-06-01,,,Austria
1749-07-01,,,Austria
1749-08-01,,,Austria
1749-09-01,,,Austria
1749-10-01,,,Austria
1749-11-01,,,Austria
1749-12-01,,,Austria
1750-01-01,-3.5820000000000003,1807,Austria
1750-02-01,0.00099999999999989,2291,Austria
1750-03-01,3.8489999999999998,2.62,Austria
1750-04-01,6.3039999999999985,1794,Austria
1750-05-01,10.947000000000001,1991,Austria
